Email,First usage,Last usage,Account id,Account name
21059261,2012-12-12,2013-01-13,92141,92141
21059398,2012-12-12,2013-03-19,92141,92141
21063862,2013-01-07,2013-01-30,92141,92141
21079342,2013-01-07,2013-09-25,92141,92141
21082360,2013-01-09,2013-09-25,92141,92141
21082361,2013-01-09,2013-09-24,92141,92141
21082363,2013-01-09,2013-04-21,92141,92141
21082365,2013-02-20,2013-08-30,92141,92141
21082366,2013-04-30,2013-09-25,92141,92141
21082367,2013-01-09,2013-09-25,92141,92141
21082369,2013-01-09,2013-04-11,92141,92141
21082371,2013-01-09,2013-01-09,92141,92141
21094632,2013-01-21,2013-06-28,92141,92141
21095778,2013-04-03,2013-09-25,92141,92141
21095780,2013-04-03,2013-09-25,92141,92141
21098032,2013-01-24,2013-09-25,92141,92141
21103519,2013-02-01,2013-09-25,92141,92141
21103520,2013-01-31,2013-02-20,92141,92141
21107372,2013-02-04,2013-07-30,92141,92141
21107460,2013-03-24,2013-08-14,92141,92141
21112497,2013-02-11,2013-09-25,92141,92141
21140393,2013-03-25,2013-09-25,92141,92141
21140395,2013-03-25,2013-09-25,92141,92141
21141299,2013-03-11,2013-03-11,92141,92141
21141336,2013-06-05,2013-07-19,92141,92141
21141407,2013-03-11,2013-09-19,92141,92141
21142684,2013-03-12,2013-09-25,92141,92141
21145136,2013-03-14,2013-09-25,92141,92141
21149757,2013-03-19,2013-09-25,92141,92141
21154634,2013-03-31,2013-04-07,92141,92141
21154711,2013-03-24,2013-09-25,92141,92141
21156077,2013-03-25,2013-04-08,92141,92141
21157295,2013-03-26,2013-09-20,92141,92141
21158814,2013-03-30,2013-09-25,92141,92141
21165157,2013-04-03,2013-09-25,92141,92141
21168591,2013-04-07,2013-04-07,92141,92141
21175076,2013-04-13,2013-09-22,92141,92141
21183374,2013-04-21,2013-06-16,92141,92141
21185954,2013-04-23,2013-04-23,92141,92141
21195242,2013-05-01,2013-05-02,92141,92141
21205060,2013-05-09,2013-06-17,92141,92141
21208526,2013-05-20,2013-09-25,92141,92141
21208528,2013-05-15,2013-06-25,92141,92141
21208529,2013-05-16,2013-05-22,92141,92141
21208533,2013-05-13,2013-05-14,92141,92141
21214721,2013-05-19,2013-05-19,92141,92141
21216290,2013-05-27,2013-09-25,92141,92141
21221295,2013-05-24,2013-09-25,92141,92141
21222001,2013-06-02,2013-09-25,92141,92141
21230264,2013-06-03,2013-06-13,92141,92141
21231607,2013-06-04,2013-09-23,92141,92141
21231634,2013-06-04,2013-09-22,92141,92141
21231635,2013-06-04,2013-09-25,92141,92141
21231636,2013-06-04,2013-06-04,92141,92141
21239923,2013-06-12,2013-09-25,92141,92141
21239979,2013-06-12,2013-09-24,92141,92141
21241498,2013-06-13,2013-09-15,92141,92141
21243100,2013-06-15,2013-09-23,92141,92141
21243134,2013-06-15,2013-09-25,92141,92141
21247658,2013-06-19,2013-09-16,92141,92141
21247733,2013-07-14,2013-09-24,92141,92141
21247734,2013-07-16,2013-09-10,92141,92141
21247735,2013-06-20,2013-09-25,92141,92141
21247736,2013-07-09,2013-08-27,92141,92141
21252804,2013-06-27,2013-09-02,92141,92141
21254394,2013-06-25,2013-09-25,92141,92141
21262191,2013-07-02,2013-09-25,92141,92141
21268423,2013-07-03,2013-09-25,92141,92141
21289167,2013-07-15,2013-09-25,92141,92141
21291884,2013-07-17,2013-07-17,92141,92141
21300083,2013-07-21,2013-09-24,92141,92141
21300087,2013-07-21,2013-09-24,92141,92141
21307245,2013-07-24,2013-09-25,92141,92141
21307431,2013-07-24,2013-09-24,92141,92141
21309113,2013-07-25,2013-09-24,92141,92141
21346980,2013-08-11,2013-09-19,92141,92141
21349224,2013-08-12,2013-08-12,92141,92141
21382873,2013-09-02,2013-09-25,92141,92141
21405415,2013-09-09,2013-09-23,92141,92141
21405417,2013-09-09,2013-09-25,92141,92141
21419994,2013-09-15,2013-09-22,92141,92141
winning,2013-06-07,2013-09-19,92141,92141
20811937,2012-09-04,2013-09-25,93054,93054
viewbug,2013-06-08,2013-09-25,93054,93054
21027271,2012-12-05,2013-09-25,106619,106619
yellowlab,2013-06-09,2013-09-25,106619,106619
20408396,2012-09-05,2013-09-25,88354,88354
sendy,2013-06-07,2013-09-25,88354,88354
21407482,2013-09-10,2013-09-23,161928,161928
21428776,2013-09-19,2013-09-19,161928,161928
zrtest,2013-09-19,2013-09-19,161928,161928
20901598,2012-10-06,2013-09-25,99693,99693
21067531,2012-12-23,2012-12-23,99693,99693
21116958,2013-03-24,2013-09-25,99693,99693
21116960,2013-03-24,2013-05-21,99693,99693
21117066,2013-02-15,2013-02-15,99693,99693
21347016,2013-08-11,2013-09-02,99693,99693
